instance_id,sol_time,status,solution,objective,gap
UDMIS034EXT,0.002424478530883789,2,101010101010101010110110011010100110101101001101010011011110101001010010110101010111010110010101010101001010101101001101,64.0,0.0
UDMIS011EXT,0.0009760856628417969,2,111000101010101010100101011010100111,19.0,0.0
UDMIS066EXT,0.002966165542602539,2,110101010000000010110101001000000000101110000000000101010111000000001110100000000101011101,31.0,0.0
UDMIS029EXT,0.0016102790832519531,2,100110111010010101101101011001010010101011101001001011101010101001110101011000110101010101,48.0,0.0
UDMIS069EXT,0.0026526451110839844,2,1010110100000000000110101010100000000001101000010001010110001000001000000010101010001000000100010101,30.0,0.0
UDMIS003EXT,0.00046181678771972656,2,110111100010011,9.0,0.0
UDMIS083EXT,0.0010027885437011719,2,110000000011000100101001010010001011,13.0,0.0
UDMIS004EXT,0.0008075237274169922,2,1010101010011110100100011,13.0,0.0
UDMIS065EXT,0.0021851062774658203,2,010110111000000000011011000000000001010011000001000101001010000000011010111000000101010101,30.0,0.0
UDMIS090EXT,0.0013031959533691406,2,1010101000000001100010000101010010001000001100101,16.0,0.0
UDMIS005EXT,0.0006704330444335938,2,1001101101001010101110010,13.0,0.0
UDMIS108EXT,0.003465890884399414,2,101010101010000000001010101010100000000001000010101001010000010000010010000110000110000000001100101011000000000110010101,36.0,0.0
UDMIS014EXT,0.0008947849273681641,2,1001010111101010010011010111011010110101,23.0,0.0
UDMIS045EXT,0.0008673667907714844,2,110000101101000001010101001101,13.0,0.0
UDMIS015EXT,0.001035451889038086,2,0101011001101010101111011000010010101101,21.0,0.0
UDMIS062EXT,0.0020546913146972656,2,10101110000000000101011100000000000100001100010100001000001101010000000101010101,25.0,0.0
UDMIS018EXT,0.0010831356048583984,2,1010010010101011100100101111101101001000101100101,25.0,0.0
UDMIS071EXT,0.0030057430267333984,2,110101010100000000000110100101000000000001101011010000000001100000101001001001000000011001010100010000001000001010100101,36.0,0.0
UDMIS059EXT,0.001752614974975586,2,1111010000000010011100100000000000101010101000000011011010000001010111,25.0,0.0
UDMIS084EXT,0.0009596347808837891,2,100101100001001100000001010100000011,12.0,0.0
UDMIS016EXT,0.0010173320770263672,2,1011001010101010101001011101100011101010000101011,25.0,0.0
UDMIS031EXT,0.0031256675720214844,2,1001101010110111010110101011010100011010101101010110101010101010101010101010101001010101101010101101,54.0,0.0
UDMIS027EXT,0.0016345977783203125,2,10101101010101001101100001010101011101101101101110101010101010101010100101100101,43.0,0.0
UDMIS089EXT,0.0016093254089355469,2,1010101000000100110001000010001010010010000101010,16.0,0.0
UDMIS091EXT,0.0015628337860107422,2,101010100000100101101000010011010010000010101000000001110101,22.0,0.0
UDMIS2TG,0.0005257129669189453,2,110101100001001,7.0,0.0
UDMIS009EXT,0.0006175041198730469,2,110001010101011110100101101101,17.0,0.0
UDMIS076EXT,0.0007669925689697266,2,1010000110100001000100101,9.0,0.0
UDMIS024EXT,0.001477956771850586,2,1010100110100101110101001010110101101010110110100101101010101101001011,38.0,0.0
UDMIS056EXT,0.001528024673461914,2,110010100000110101100000000001010100000001101011000001011011,22.0,0.0
UDMIS060EXT,0.001779317855834961,2,1010010100010001100000110100000100110001010001100001100001000001001011,24.0,0.0
UDMIS099EXT,0.0032083988189697266,2,10101101000000000110010100000100001100000010101010000001000101010010000010010101,25.0,0.0
UDMIS041EXT,0.0009114742279052734,2,1010001100000101100000101,9.0,0.0
UDMIS077EXT,0.0007739067077636719,2,1010001100000101100000101,9.0,0.0
UDMIS098EXT,0.002048492431640625,2,10101110000000000101011100000000000100001100010100001000001101010000000101010101,25.0,0.0
UDMIS7TG,0.00042819976806640625,2,101111110100110011100111110111,21.0,0.0
UDMIS106EXT,0.0029578208923339844,2,101010010101000000000010100101010000100000101000001100011000000000010101010101000000000110100101010000000000001101001101,36.0,0.0
UDMIS5TG,0.00069427490234375,2,100010111000010001011001011101,14.0,0.0
