logtype,instance_id,instance_type,qubo_vars,success_runs,failed_runs
DWave,UDMIS015EXT,UDMIS,40,3,0
DWave,MWC19,MWC,65,1,0
DWave,MWC86,MWC,25,2,0
DWave,MWC104,MWC,85,1,0
DWave,MWC24,MWC,75,1,0
DWave,TSP2,TSP,25,2,0
DWave,MWC11,MWC,35,2,0
DWave,MWC182,MWC,85,1,0
DWave,TSP146,TSP,36,1,1
DWave,MWC92,MWC,45,1,0
DWave,TSP134,TSP,49,1,0
DWave,MWC111,MWC,105,0,1
DWave,TSP43,TSP,49,1,0
DWave,UDMIS020EXT,UDMIS,60,3,0
DWave,TSP145,TSP,25,2,0
DWave,TSP170,TSP,16,2,0
DWave,MWC27,MWC,85,1,0
DWave,UDMIS079EXT,UDMIS,30,3,0
DWave,MWC177,MWC,65,1,0
DWave,UDMIS017EXT,UDMIS,49,3,0
DWave,MWC38,MWC,125,0,1
DWave,MWC115,MWC,125,0,1
DWave,MWC261,MWC,85,1,0
DWave,UDMIS099EXT,UDMIS,80,3,0
DWave,MWC275,MWC,135,0,1
DWave,MWC331,MWC,65,1,0
DWave,MWC352,MWC,135,0,1
DWave,TSP124,TSP,100,1,0
DWave,TSP80,TSP,25,2,0
DWave,MWC108,MWC,95,1,0
DWave,TSP66,TSP,16,2,0
DWave,MWC164,MWC,25,2,0
DWave,UDMIS3TG,UDMIS,25,2,0
DWave,MWC8,MWC,25,2,0
DWave,MWC179,MWC,75,1,0
DWave,UDMIS086EXT,UDMIS,40,3,0
DWave,TSP84,TSP,81,1,0
DWave,MWC113,MWC,115,0,1
DWave,MWC332,MWC,65,1,0
DWave,MWC242,MWC,25,2,0
DWave,TSP8,TSP,121,0,1
DWave,UDMIS042EXT,UDMIS,25,3,0
DWave,UDMIS093EXT,UDMIS,60,3,0
DWave,MWC274,MWC,135,0,1
DWave,MWC119,MWC,135,0,1
DWave,TSP32,TSP,81,1,0
DWave,UDMIS029EXT,UDMIS,90,3,0
DWave,MWC15,MWC,45,1,0
DWave,TSP60,TSP,121,0,1
DWave,UDMIS061EXT,UDMIS,80,3,0
DWave,UDMIS016EXT,UDMIS,49,3,0
DWave,TSP27,TSP,16,2,0
DWave,MWC12,MWC,35,2,0
DWave,UDMIS084EXT,UDMIS,36,3,0
DWave,MWC354,MWC,135,0,1
DWave,TSP73,TSP,121,0,1
DWave,MWC330,MWC,55,1,0
DWave,MWC183,MWC,85,1,0
DWave,TSP7,TSP,100,1,0
DWave,TSP44,TSP,64,1,0
DWave,UDMIS009EXT,UDMIS,30,3,0
DWave,MWC253,MWC,65,1,0
DWave,UDMIS044EXT,UDMIS,30,3,0
DWave,MWC84,MWC,15,2,0
DWave,TSP97,TSP,81,1,0
DWave,TSP189,TSP,100,1,0
DWave,MWC345,MWC,105,0,1
DWave,MWC262,MWC,95,1,0
DWave,TSP79,TSP,16,2,0
DWave,TSP138,TSP,121,0,1
DWave,TSP132,TSP,25,2,0
DWave,MWC271,MWC,125,0,1
DWave,MWC341,MWC,95,1,0
DWave,MWC31,MWC,105,0,1
DWave,TSP33,TSP,100,1,0
DWave,MWC347,MWC,115,0,1
DWave,UDMIS054EXT,UDMIS,49,3,0
DWave,UDMIS011EXT,UDMIS,36,3,0
DWave,MWC180,MWC,75,1,0
DWave,MWC346,MWC,115,0,1
DWave,MWC100,MWC,75,1,0
DWave,MWC28,MWC,95,1,0
DWave,MWC318,MWC,15,2,0
DWave,UDMIS074EXT,UDMIS,15,3,0
DWave,MWC325,MWC,45,1,0
DWave,UDMIS035EXT,UDMIS,120,2,1
DWave,UDMIS098EXT,UDMIS,80,3,0
DWave,UDMIS2TG,UDMIS,15,2,0
DWave,TSP152,TSP,144,0,1
DWave,UDMIS092EXT,UDMIS,60,3,0
DWave,TSP148,TSP,64,1,0
DWave,MWC166,MWC,35,2,0
DWave,UDMIS048EXT,UDMIS,36,3,0
DWave,UDMIS021EXT,UDMIS,60,3,0
DWave,TSP190,TSP,121,0,1
DWave,MWC178,MWC,75,1,0
DWave,MWC273,MWC,125,0,1
DWave,UDMIS033EXT,UDMIS,100,3,0
DWave,TSP67,TSP,25,2,0
DWave,MWC5,MWC,15,2,0
DWave,MWC181,MWC,85,1,0
DWave,MWC184,MWC,95,1,0
DWave,MWC6,MWC,15,2,0
DWave,TSP93,TSP,25,2,0
DWave,TSP19,TSP,81,1,0
DWave,UDMIS077EXT,UDMIS,25,3,0
DWave,UDMIS012EXT,UDMIS,36,3,0
DWave,MWC267,MWC,105,0,1
DWave,MWC255,MWC,65,1,0
DWave,MWC116,MWC,125,0,1
DWave,MWC197,MWC,135,0,1
DWave,MWC158,MWC,5,2,0
DWave,UDMIS069EXT,UDMIS,100,3,1
DWave,MWC18,MWC,55,1,0
DWave,MWC105,MWC,85,1,0
DWave,MWC351,MWC,125,0,1
DWave,MWC171,MWC,45,1,0
DWave,TSP45,TSP,81,1,0
DWave,TSP74,TSP,144,0,1
DWave,MWC322,MWC,35,2,0
DWave,TSP82,TSP,49,1,0
DWave,UDMIS089EXT,UDMIS,49,3,0
DWave,TSP96,TSP,64,1,0
DWave,MWC259,MWC,85,1,0
DWave,MWC189,MWC,105,0,1
DWave,MWC257,MWC,75,1,0
DWave,MWC240,MWC,15,2,0
DWave,UDMIS032EXT,UDMIS,100,3,0
DWave,MWC120,MWC,135,0,1
DWave,MWC324,MWC,35,2,0
DWave,MWC26,MWC,85,1,0
DWave,UDMIS008EXT,UDMIS,30,3,0
DWave,UDMIS068EXT,UDMIS,100,3,1
DWave,MWC276,MWC,135,0,1
DWave,MWC328,MWC,55,1,0
DWave,UDMIS049EXT,UDMIS,40,3,0
DWave,UDMIS8TG,UDMIS,80,1,0
DWave,MWC313,MWC,5,2,0
DWave,TSP21,TSP,121,0,1
DWave,MWC40,MWC,135,0,1
DWave,MWC238,MWC,15,2,0
DWave,TSP160,TSP,49,1,0
DWave,MWC80,MWC,5,2,0
DWave,UDMIS6TG,UDMIS,60,1,0
DWave,MWC93,MWC,45,1,0
DWave,UDMIS023EXT,UDMIS,70,3,0
DWave,TSP175,TSP,81,1,0
DWave,TSP14,TSP,16,2,0
DWave,TSP30,TSP,49,1,0
DWave,TSP147,TSP,49,1,0
DWave,TSP35,TSP,144,0,1
DWave,MWC349,MWC,125,0,1
DWave,MWC317,MWC,15,2,0
DWave,MWC353,MWC,135,0,1
DWave,TSP48,TSP,144,0,1
DWave,TSP16,TSP,36,1,0
DWave,TSP87,TSP,144,0,1
DWave,TSP111,TSP,100,1,0
DWave,MWC270,MWC,115,0,1
DWave,MWC266,MWC,105,0,1
DWave,MWC190,MWC,115,0,1
DWave,TSP31,TSP,64,1,0
DWave,TSP105,TSP,16,2,0
DWave,MWC246,MWC,35,2,0
DWave,UDMIS106EXT,UDMIS,120,2,1
DWave,MWC323,MWC,35,2,0
DWave,TSP113,TSP,144,0,1
DWave,MWC33,MWC,105,0,1
DWave,MWC157,MWC,5,2,0
DWave,TSP20,TSP,100,1,0
DWave,MWC185,MWC,95,1,0
DWave,TSP137,TSP,100,1,0
DWave,MWC193,MWC,125,0,1
DWave,TSP94,TSP,36,1,0
DWave,MWC268,MWC,115,0,1
DWave,MWC97,MWC,65,1,0
DWave,MWC350,MWC,125,0,1
DWave,MWC235,MWC,5,2,0
DWave,TSP163,TSP,100,1,0
DWave,MWC326,MWC,45,1,0
DWave,MWC196,MWC,135,0,1
DWave,MWC172,MWC,55,1,0
DWave,TSP183,TSP,16,2,0
DWave,TSP5,TSP,64,1,0
DWave,MWC269,MWC,115,0,1
DWave,MWC329,MWC,55,1,0
DWave,MWC16,MWC,55,1,0
DWave,UDMIS059EXT,UDMIS,70,3,0
DWave,MWC334,MWC,75,1,0
DWave,TSP139,TSP,144,0,1
DWave,MWC272,MWC,125,0,1
DWave,MWC198,MWC,135,0,1
DWave,MWC94,MWC,55,1,0
DWave,TSP109,TSP,64,1,0
DWave,UDMIS1TG,UDMIS,8,2,0
DWave,TSP186,TSP,49,1,0
DWave,MWC252,MWC,55,1,0
DWave,MWC241,MWC,25,2,0
DWave,MWC22,MWC,75,1,0
DWave,TSP161,TSP,64,1,0
DWave,TSP58,TSP,81,1,0
DWave,MWC339,MWC,85,1,0
DWave,MWC248,MWC,45,1,0
DWave,TSP121,TSP,49,1,0
DWave,TSP72,TSP,100,1,0
DWave,MWC21,MWC,65,1,0
DWave,MWC254,MWC,65,1,0
DWave,TSP188,TSP,81,1,0
DWave,MWC117,MWC,125,0,1
DWave,TSP15,TSP,25,2,0
