logfile,start_timestamp,end_timestamp,instance_id,instance_type,qubo_vars,R,version,success,sol_time,obj_from_QPU_sol
./run_logs/quera/result_UDMIS085EXT_N40_W1.0_R0.2.orig_1700088575.539771.json,1700088575.539771,1700088633.442912,UDMIS085EXT,UDMIS,40,1.85,1.1,True,57.903141021728516,12
./run_logs/quera/result_UDMIS059EXT_N70_W1.0_R0.1.orig_1700088633.445829.json,1700088633.445829,1700088691.096909,UDMIS059EXT,UDMIS,70,1.42,1.1,True,57.65108013153076,22
./run_logs/quera/result_UDMIS063EXT_N80_W1.0_R0.1.orig_1700087419.638391.json,1700087419.638391,1700087476.482861,UDMIS063EXT,UDMIS,80,1.42,1.1,True,56.84447002410889,22
./run_logs/quera/result_UDMIS078EXT_N25_W1.0_R0.3.orig_1700091964.162886.json,1700091964.162886,1700092022.618598,UDMIS078EXT,UDMIS,25,1.85,1.1,True,58.45571208000183,9
./run_logs/quera/result_UDMIS034EXT_N120_W1.0_R0.1.orig_1700090580.226471.json,1700090580.226471,1700090637.90167,UDMIS034EXT,UDMIS,120,1.25,1.1,True,57.675199031829834,41
./run_logs/quera/result_UDMIS031EXT_N100_W1.0_R0.1.orig_1700089039.7034.json,1700089039.7034,1700089097.357022,UDMIS031EXT,UDMIS,100,1.25,1.1,True,57.65362215042114,37
./run_logs/quera/result_UDMIS081EXT_N30_W1.0_R0.3.orig_1700087067.943621.json,1700087067.943621,1700087128.132371,UDMIS081EXT,UDMIS,30,1.85,1.1,True,60.18875002861023,10
./run_logs/quera/result_UDMIS096EXT_N70_W1.0_R0.2.orig_1700091041.308878.json,1700091041.308878,1700091097.708685,UDMIS096EXT,UDMIS,70,1.85,1.1,True,56.39980697631836,20
./run_logs/quera/result_UDMIS014EXT_N40_W1.0_R0.2.orig_1700092081.103976.json,1700092081.103976,1700092137.872608,UDMIS014EXT,UDMIS,40,1.25,1.1,True,56.76863193511963,19
./run_logs/quera/result_UDMIS003EXT_N15_W1.0_R0.2.orig_1700089383.327389.json,1700089383.327389,1700089440.734454,UDMIS003EXT,UDMIS,15,1.25,1.1,True,57.40706491470337,9
./run_logs/quera/result_UDMIS007EXT_N30_W1.0_R0.2.orig_1700090753.387891.json,1700090753.387891,1700090810.537116,UDMIS007EXT,UDMIS,30,1.25,1.1,True,57.14922499656677,16
