logtype,instance_id,instance_type,qubo_vars,success_runs,failed_runs
QuEra,UDMIS023EXT,UDMIS,70,1,0
QuEra,UDMIS008EXT,UDMIS,30,1,0
QuEra,UDMIS093EXT,UDMIS,60,1,0
QuEra,UDMIS088EXT,UDMIS,49,1,0
QuEra,UDMIS074EXT,UDMIS,15,1,0
QuEra,UDMIS053EXT,UDMIS,49,1,0
QuEra,UDMIS106EXT,UDMIS,120,1,0
QuEra,UDMIS076EXT,UDMIS,25,1,0
QuEra,UDMIS024EXT,UDMIS,70,1,0
QuEra,UDMIS105EXT,UDMIS,100,1,0
QuEra,UDMIS028EXT,UDMIS,90,1,0
QuEra,UDMIS045EXT,UDMIS,30,1,0
QuEra,UDMIS038EXT,UDMIS,15,1,0
QuEra,UDMIS085EXT,UDMIS,40,1,0
QuEra,UDMIS059EXT,UDMIS,70,1,0
QuEra,UDMIS063EXT,UDMIS,80,1,0
QuEra,UDMIS078EXT,UDMIS,25,1,0
QuEra,UDMIS034EXT,UDMIS,120,1,0
QuEra,UDMIS031EXT,UDMIS,100,1,0
QuEra,UDMIS081EXT,UDMIS,30,1,0
QuEra,UDMIS096EXT,UDMIS,70,1,0
QuEra,UDMIS014EXT,UDMIS,40,1,0
QuEra,UDMIS003EXT,UDMIS,15,1,0
QuEra,UDMIS007EXT,UDMIS,30,1,0
